company_id,company_name,year,cash_dividend,cash_dividend_new
3021,鴻名,2020,0.7,0.7109470963478088
3022,威強電,2020,2.0,2.035694122314453
3023,信邦,2020,6.3,6.393434047698975
3024,憶聲,2020,0.1,0.14770807325839996
3025,星通,2020,1.0,0.8528903126716614
3026,禾伸堂,2020,8.0,7.622940540313721
3027,盛達,2020,0.0,0.24837839603424072
3028,增你強,2020,1.9001532,1.931461215019226
3029,零壹,2020,3.000667104,1.9669243097305298
3030,德律,2020,3.3,3.452200412750244
3031,佰鴻,2020,0.8,0.7035079598426819
3032,偉訓,2020,3.1,2.950624942779541
3033,威健,2020,1.33341226,1.2793707847595215
3034,聯詠,2020,15.6,15.176215171813965
3035,智原,2020,1.0,0.9699357151985168
3036,文曄,2020,3.20270134,2.872825860977173
3037,欣興,2020,1.4,1.4705052375793457
3038,全台,2020,1.2,1.1862640380859375
3040,遠見,2020,5.7,5.5710062980651855
3041,揚智,2020,0.0,0.027994167059659958
3042,晶技,2020,3.8,3.565493106842041
3043,科風,2020,0.0,0.003548585344105959
3044,健鼎,2020,7.35,7.3510637283325195
3045,台灣大,2020,4.3,4.279665470123291
3046,建碁,2020,0.0,0.00171572994440794
3047,訊舟,2020,0.29,0.3070707619190216
3048,益登,2020,1.9,1.9607298374176025
3049,和鑫,2020,0.3899999,0.2837190628051758
3050,鈺德,2020,0.6,0.6229654550552368
3051,力特,2020,0.0,0.006830274127423763
3052,夆典,2020,0.8,1.0428277254104614
3054,立萬利,2020,0.0,0.005809464491903782
3055,蔚華科,2020,0.2,0.2406972348690033
3056,總太,2020,4.4,2.8242783546447754
3057,喬鼎,2020,0.0,0.006185439880937338
3058,立德,2020,0.15,0.07731328904628754
3059,華晶科,2020,0.5,0.5477381348609924
3060,銘異,2020,0.0,-0.0014703504275530577
3062,建漢,2020,0.15,0.20806877315044403
3064,泰偉,2020,0.0,-1.513573806732893e-06
3066,李洲,2020,0.0,-0.004154088441282511
3067,全域,2020,0.0,0.00324543216265738
3071,協禧,2020,1.6,1.1342753171920776
3073,天方能源,2020,0.0,-0.012984903529286385
3078,僑威,2020,3.15,3.101712465286255
3081,聯亞,2020,5.0,5.043435573577881
3083,網龍,2020,0.0,0.04327699542045593
3085,新零售,2020,0.0,0.001272471621632576
3086,華義,2020,0.0,-0.02471107244491577
3088,艾訊,2020,2.57013434,2.6363635063171387
3089,元炬,2020,0.0,-0.010103637352585793
3090,日電貿,2020,3.1,2.8069324493408203
3092,鴻碩,2020,1.376447076,1.2559622526168823
3093,港建,2020,4.2,4.065322399139404
